523                                                                                                 ,105                                                                                                 ,10-AUG-73 07.00.00.000000 AM                                               ,           83.55,           94.27
525                                                                                                 ,392                                                                                                 ,15-JAN-74 02.00.00.000000 AM                                               ,           79.07,           21.89
532                                                                                                 ,25                                                                                                  ,13-APR-96 05.00.00.000000 AM                                               ,           90.95,           36.75
532                                                                                                 ,394                                                                                                 ,17-FEB-78 06.00.00.000000 AM                                               ,            28.5,           52.68
540                                                                                                 ,537                                                                                                 ,05-JAN-67 09.00.00.000000 AM                                               ,           82.04,           71.74
540                                                                                                 ,657                                                                                                 ,26-OCT-03 02.00.00.000000 PM                                               ,           39.79,           32.02
540                                                                                                 ,759                                                                                                 ,02-NOV-91 09.00.00.000000 PM                                               ,              61,           44.62
541                                                                                                 ,713                                                                                                 ,14-MAR-81 04.00.00.000000 AM                                               ,           19.85,           80.13
569                                                                                                 ,79                                                                                                  ,10-JUN-15 02.00.00.000000 AM                                               ,           65.56,           93.37
569                                                                                                 ,508                                                                                                 ,06-JAN-12 06.00.00.000000 PM                                               ,           82.01,           33.75
569                                                                                                 ,539                                                                                                 ,06-AUG-78 10.00.00.000000 PM                                               ,           80.59,            55.8
569                                                                                                 ,658                                                                                                 ,15-OCT-94 01.00.00.000000 AM                                               ,           14.35,           32.42
574                                                                                                 ,205                                                                                                 ,25-AUG-07 06.00.00.000000 PM                                               ,           14.01,            63.7
574                                                                                                 ,437                                                                                                 ,28-OCT-08 09.00.00.000000 AM                                               ,           35.82,           99.62
574                                                                                                 ,633                                                                                                 ,14-JUN-13 04.00.00.000000 PM                                               ,           66.12,           87.09
576                                                                                                 ,14                                                                                                  ,22-DEC-76 10.00.00.000000 AM                                               ,           32.54,           40.01
576                                                                                                 ,414                                                                                                 ,10-JAN-14 05.00.00.000000 AM                                               ,            88.3,           58.31
576                                                                                                 ,582                                                                                                 ,24-AUG-78 03.00.00.000000 PM                                               ,           60.65,           82.93
579                                                                                                 ,182                                                                                                 ,19-MAY-11 12.00.00.000000 AM                                               ,           33.53,           99.76
579                                                                                                 ,331                                                                                                 ,26-MAR-82 02.00.00.000000 AM                                               ,           15.98,           19.51
580                                                                                                 ,55                                                                                                  ,07-MAY-80 12.00.00.000000 AM                                               ,           42.75,           91.75
580                                                                                                 ,361                                                                                                 ,25-MAY-89 10.00.00.000000 PM                                               ,           75.11,           91.83
580                                                                                                 ,685                                                                                                 ,24-MAR-95 07.00.00.000000 PM                                               ,           46.14,           37.26
587                                                                                                 ,74                                                                                                  ,21-FEB-98 10.00.00.000000 PM                                               ,           68.16,           86.58
587                                                                                                 ,228                                                                                                 ,24-NOV-78 10.00.00.000000 AM                                               ,           53.43,           87.93
587                                                                                                 ,689                                                                                                 ,04-JAN-79 05.00.00.000000 AM                                               ,            29.1,           72.44
597                                                                                                 ,128                                                                                                 ,27-MAY-95 06.00.00.000000 PM                                               ,           72.49,           81.44
597                                                                                                 ,521                                                                                                 ,04-JAN-70 06.00.00.000000 PM                                               ,           18.74,               3
597                                                                                                 ,579                                                                                                 ,08-APR-04 01.00.00.000000 PM                                               ,            7.94,           69.57
597                                                                                                 ,625                                                                                                 ,15-AUG-83 04.00.00.000000 PM                                               ,           37.68,           74.67
603                                                                                                 ,111                                                                                                 ,20-FEB-73 09.00.00.000000 AM                                               ,           25.88,           50.21
603                                                                                                 ,171                                                                                                 ,24-FEB-96 09.00.00.000000 PM                                               ,           11.04,           31.22
604                                                                                                 ,63                                                                                                  ,07-FEB-01 10.00.00.000000 AM                                               ,           55.13,           99.79
604                                                                                                 ,653                                                                                                 ,01-MAY-16 07.00.00.000000 AM                                               ,           15.97,           55.76
604                                                                                                 ,787                                                                                                 ,28-SEP-95 01.00.00.000000 AM                                               ,            58.5,           95.71
609                                                                                                 ,162                                                                                                 ,12-JAN-94 03.00.00.000000 AM                                               ,           55.58,           93.24
609                                                                                                 ,349                                                                                                 ,05-JUL-84 05.00.00.000000 PM                                               ,           15.71,           42.85
609                                                                                                 ,415                                                                                                 ,28-JUL-82 12.00.00.000000 AM                                               ,             5.6,           93.59
609                                                                                                 ,493                                                                                                 ,27-MAY-76 04.00.00.000000 PM                                               ,           13.96,           25.79
621                                                                                                 ,279                                                                                                 ,10-MAY-14 03.00.00.000000 PM                                               ,           38.64,            1.61
621                                                                                                 ,555                                                                                                 ,13-APR-85 03.00.00.000000 AM                                               ,           46.62,           92.95
621                                                                                                 ,564                                                                                                 ,27-OCT-71 12.00.00.000000 AM                                               ,            84.1,           63.81
631                                                                                                 ,455                                                                                                 ,03-OCT-02 03.00.00.000000 AM                                               ,           63.44,           98.91
631                                                                                                 ,693                                                                                                 ,26-JUL-99 10.00.00.000000 PM                                               ,           41.44,            9.41
631                                                                                                 ,776                                                                                                 ,06-APR-72 09.00.00.000000 AM                                               ,           52.95,           48.88
651                                                                                                 ,499                                                                                                 ,24-JUN-76 11.00.00.000000 PM                                               ,           90.58,           17.01
651                                                                                                 ,773                                                                                                 ,07-FEB-04 10.00.00.000000 AM                                               ,           95.88,           41.55
653                                                                                                 ,122                                                                                                 ,22-NOV-14 04.00.00.000000 AM                                               ,           78.28,            44.5
653                                                                                                 ,214                                                                                                 ,10-JUL-69 09.00.00.000000 PM                                               ,            24.5,           48.26
653                                                                                                 ,248                                                                                                 ,14-JAN-71 02.00.00.000000 AM                                               ,           89.13,           14.65
653                                                                                                 ,430                                                                                                 ,29-JUL-71 08.00.00.000000 AM                                               ,           25.88,           51.33
667                                                                                                 ,15                                                                                                  ,16-OCT-81 11.00.00.000000 PM                                               ,            89.8,           46.73
667                                                                                                 ,148                                                                                                 ,30-NOV-77 05.00.00.000000 AM                                               ,           64.46,           93.14
667                                                                                                 ,337                                                                                                 ,05-JUL-00 09.00.00.000000 AM                                               ,           10.57,           12.54
667                                                                                                 ,718                                                                                                 ,03-APR-13 12.00.00.000000 PM                                               ,           80.82,           20.15
673                                                                                                 ,89                                                                                                  ,12-DEC-92 01.00.00.000000 PM                                               ,           86.16,           31.27
673                                                                                                 ,392                                                                                                 ,21-AUG-11 05.00.00.000000 AM                                               ,           73.77,           34.62
673                                                                                                 ,642                                                                                                 ,04-MAY-86 04.00.00.000000 AM                                               ,            58.4,            38.9
675                                                                                                 ,496                                                                                                 ,29-MAR-92 09.00.00.000000 PM                                               ,           80.72,            59.4
675                                                                                                 ,651                                                                                                 ,26-MAY-16 02.00.00.000000 AM                                               ,           42.18,           68.15
675                                                                                                 ,723                                                                                                 ,07-AUG-70 09.00.00.000000 PM                                               ,           34.89,           41.49
675                                                                                                 ,772                                                                                                 ,25-MAY-88 06.00.00.000000 AM                                               ,           76.74,            61.3
682                                                                                                 ,386                                                                                                 ,08-MAR-87 11.00.00.000000 PM                                               ,           10.16,            31.8
682                                                                                                 ,615                                                                                                 ,02-FEB-89 06.00.00.000000 PM                                               ,           62.27,           86.25
687                                                                                                 ,89                                                                                                  ,29-JUL-71 06.00.00.000000 PM                                               ,           22.24,           75.75
687                                                                                                 ,644                                                                                                 ,27-APR-88 01.00.00.000000 AM                                               ,           79.55,           93.73
701                                                                                                 ,26                                                                                                  ,08-DEC-05 03.00.00.000000 AM                                               ,           63.48,           15.93
701                                                                                                 ,220                                                                                                 ,24-JUN-00 07.00.00.000000 PM                                               ,           22.02,           73.15
701                                                                                                 ,682                                                                                                 ,23-JAN-97 04.00.00.000000 AM                                               ,             .16,            59.9
701                                                                                                 ,720                                                                                                 ,26-JUL-89 06.00.00.000000 AM                                               ,           47.79,           86.27
708                                                                                                 ,179                                                                                                 ,09-APR-06 10.00.00.000000 PM                                               ,           41.21,           24.38
708                                                                                                 ,353                                                                                                 ,04-NOV-90 05.00.00.000000 PM                                               ,            1.98,           25.02
710                                                                                                 ,261                                                                                                 ,30-MAR-67 09.00.00.000000 AM                                               ,           64.36,           10.48
710                                                                                                 ,329                                                                                                 ,14-JAN-99 08.00.00.000000 PM                                               ,            90.2,           63.35
712                                                                                                 ,167                                                                                                 ,07-JUL-98 01.00.00.000000 PM                                               ,            4.62,           67.03
712                                                                                                 ,370                                                                                                 ,10-JAN-08 01.00.00.000000 AM                                               ,            6.27,           58.32
712                                                                                                 ,429                                                                                                 ,31-JAN-91 01.00.00.000000 PM                                               ,           97.76,            1.79
712                                                                                                 ,727                                                                                                 ,23-MAY-92 12.00.00.000000 AM                                               ,            7.22,           87.23
715                                                                                                 ,221                                                                                                 ,24-MAR-02 03.00.00.000000 PM                                               ,           84.17,           20.25
715                                                                                                 ,513                                                                                                 ,06-FEB-02 02.00.00.000000 AM                                               ,           24.21,           22.71
715                                                                                                 ,598                                                                                                 ,06-MAY-89 05.00.00.000000 AM                                               ,           10.27,           54.51
716                                                                                                 ,245                                                                                                 ,06-NOV-85 07.00.00.000000 PM                                               ,           46.76,           25.41
716                                                                                                 ,311                                                                                                 ,10-AUG-10 05.00.00.000000 AM                                               ,           59.65,           95.43
